Order ID,Product,Quantity Ordered,Price Each,Purchase Address
150556,Lightning Charging Cable,1,14.95,"419 Hill St, Los Angeles, CA 90001"
150557,AA Batteries (4-pack),2,3.84,"372 5th St, Seattle, WA 98101"
150558,Wired Headphones,1,11.99,"864 Hickory St, Boston, MA 02215"
150559,Apple Airpods Headphones,1,150,"506 Willow St, Boston, MA 02215"
150560,Apple Airpods Headphones,1,150,"178 14th St, San Francisco, CA 94016"
150561,Wired Headphones,1,11.99,"888 Jefferson St, New York City, NY 10001"
150562,27in 4K Gaming Monitor,1,389.99,"663 1st St, Atlanta, GA 30301"
150563,iPhone,1,700,"631 Pine St, San Francisco, CA 94016"
150564,USB-C Charging Cable,1,11.95,"579 9th St, Atlanta, GA 30301"
150565,Wired Headphones,1,11.99,"406 Lincoln St, Seattle, WA 98101"
150566,27in FHD Monitor,1,149.99,"230 Pine St, Los Angeles, CA 90001"
150567,Apple Airpods Headphones,1,150,"466 South St, Dallas, TX 75001"
150568,Wired Headphones,1,11.99,"651 Johnson St, New York City, NY 10001"
150569,AA Batteries (4-pack),3,3.84,"981 Lake St, Seattle, WA 98101"
150570,Wired Headphones,1,11.99,"786 Meadow St, San Francisco, CA 94016"
150571,Lightning Charging Cable,1,14.95,"571 Hickory St, San Francisco, CA 94016"
150572,27in FHD Monitor,1,149.99,"523 Spruce St, Atlanta, GA 30301"
150573,Apple Airpods Headphones,1,150,"455 Highland St, Los Angeles, CA 90001"
150574,Lightning Charging Cable,1,14.95,"25 7th St, Portland, OR 97035"
150575,AA Batteries (4-pack),1,3.84,"776 Elm St, Los Angeles, CA 90001"
,,,,
150576,Bose SoundSport Headphones,1,99.99,"43 South St, San Francisco, CA 94016"
150577,AA Batteries (4-pack),1,3.84,"122 Spruce St, Seattle, WA 98101"
150578,USB-C Charging Cable,1,11.95,"193 Pine St, San Francisco, CA 94016"
150579,USB-C Charging Cable,1,11.95,"320 North St, Los Angeles, CA 90001"
150580,AA Batteries (4-pack),1,3.84,"399 5th St, New York City, NY 10001"
150581,AA Batteries (4-pack),1,3.84,"144 Washington St, Seattle, WA 98101"
150582,iPhone,1,700,"678 Maple St, Seattle, WA 98101"
150582,Lightning Charging Cable,1,14.95,"678 Maple St, Seattle, WA 98101"
150583,27in FHD Monitor,1,149.99,"159 Maple St, Seattle, WA 98101"
150584,AAA Batteries (4-pack),1,2.99,"971 Park St, Boston, MA 02215"
150585,USB-C Charging Cable,1,11.95,"55 Walnut St, Seattle, WA 98101"
150586,Apple Airpods Headphones,1,150,"671 12th St, San Francisco, CA 94016"
150587,Lightning Charging Cable,1,14.95,"290 Meadow St, Seattle, WA 98101"
150588,AAA Batteries (4-pack),2,2.99,"823 Cedar St, Los Angeles, CA 90001"
150589,Flatscreen TV,1,300,"123 Washington St, San Francisco, CA 94016"
150590,Apple Airpods Headphones,1,150,"196 River St, San Francisco, CA 94016"
150590,AAA Batteries (4-pack),1,2.99,"196 River St, San Francisco, CA 94016"
150591,AAA Batteries (4-pack),1,2.99,"362 Main St, Portland, OR 97035"
150592,USB-C Charging Cable,1,11.95,"756 6th St, Los Angeles, CA 90001"
150593,Bose SoundSport Headphones,1,99.99,"441 Park St, New York City, NY 10001"
150594,USB-C Charging Cable,1,11.95,"286 8th St, San Francisco, CA 94016"
150595,USB-C Charging Cable,1,11.95,"734 Cherry St, San Francisco, CA 94016"
150596,AAA Batteries (4-pack),1,2.99,"724 Ridge St, Dallas, TX 75001"
150597,USB-C Charging Cable,1,11.95,"758 Lincoln St, Boston, MA 02215"
150598,Wired Headphones,1,11.99,"841 12th St, Boston, MA 02215"
150599,20in Monitor,1,109.99,"677 South St, Atlanta, GA 30301"
150600,AA Batteries (4-pack),1,3.84,"353 11th St, San Francisco, CA 94016"
150601,AAA Batteries (4-pack),2,2.99,"24 Highland St, Atlanta, GA 30301"
150602,Apple Airpods Headphones,1,150,"207 Wilson St, Los Angeles, CA 90001"
150603,USB-C Charging Cable,1,11.95,"772 Johnson St, Seattle, WA 98101"
150604,AA Batteries (4-pack),1,3.84,"125 Hickory St, Atlanta, GA 30301"
150605,USB-C Charging Cable,1,11.95,"443 Park St, San Francisco, CA 94016"
150606,AA Batteries (4-pack),1,3.84,"810 Madison St, Atlanta, GA 30301"
150607,Lightning Charging Cable,1,14.95,"469 Church St, San Francisco, CA 94016"
150608,ThinkPad Laptop,1,999.99,"383 10th St, San Francisco, CA 94016"
150609,USB-C Charging Cable,1,11.95,"403 North St, New York City, NY 10001"
150610,27in FHD Monitor,1,149.99,"409 Church St, Boston, MA 02215"
150611,AAA Batteries (4-pack),1,2.99,"961 5th St, Portland, OR 97035"
150612,USB-C Charging Cable,1,11.95,"321 7th St, Los Angeles, CA 90001"
150613,AA Batteries (4-pack),1,3.84,"198 Walnut St, Los Angeles, CA 90001"
150614,AA Batteries (4-pack),2,3.84,"709 Cedar St, Boston, MA 02215"
150615,27in FHD Monitor,1,149.99,"814 Highland St, New York City, NY 10001"
150616,27in 4K Gaming Monitor,1,389.99,"985 Jackson St, Portland, OR 97035"
150617,Google Phone,1,600,"551 Sunset St, New York City, NY 10001"
150617,USB-C Charging Cable,1,11.95,"551 Sunset St, New York City, NY 10001"
150618,USB-C Charging Cable,1,11.95,"659 8th St, Portland, OR 97035"
150619,USB-C Charging Cable,1,11.95,"529 Madison St, Los Angeles, CA 90001"
150620,Apple Airpods Headphones,1,150,"808 1st St, Los Angeles, CA 90001"
150621,AA Batteries (4-pack),1,3.84,"173 Dogwood St, Boston, MA 02215"
150622,34in Ultrawide Monitor,1,379.99,"230 Washington St, Boston, MA 02215"
150623,iPhone,1,700,"96 7th St, Seattle, WA 98101"
150624,34in Ultrawide Monitor,1,379.99,"582 Wilson St, Los Angeles, CA 90001"
150625,AAA Batteries (4-pack),1,2.99,"19 5th St, New York City, NY 10001"
150626,AA Batteries (4-pack),2,3.84,"464 Center St, Dallas, TX 75001"
150627,USB-C Charging Cable,1,11.95,"106 10th St, Portland, OR 97035"
150628,Lightning Charging Cable,2,14.95,"206 Spruce St, San Francisco, CA 94016"
150629,AA Batteries (4-pack),1,3.84,"686 2nd St, Los Angeles, CA 90001"
150630,Apple Airpods Headphones,1,150,"274 Sunset St, Dallas, TX 75001"
150631,20in Monitor,1,109.99,"483 14th St, Atlanta, GA 30301"
150632,Wired Headphones,1,11.99,"108 Adams St, New York City, NY 10001"
150633,Wired Headphones,1,11.99,"566 Lake St, Los Angeles, CA 90001"
150634,USB-C Charging Cable,1,11.95,"463 Hickory St, New York City, NY 10001"
150635,iPhone,1,700,"129 Center St, Seattle, WA 98101"
150636,USB-C Charging Cable,1,11.95,"589 Walnut St, Portland, OR 97035"
150637,Apple Airpods Headphones,1,150,"23 Church St, Austin, TX 73301"
150638,AA Batteries (4-pack),1,3.84,"466 Lakeview St, New York City, NY 10001"
150639,Lightning Charging Cable,2,14.95,"408 Park St, Atlanta, GA 30301"
150640,Vareebadd Phone,1,400,"769 Willow St, New York City, NY 10001"
150641,AAA Batteries (4-pack),1,2.99,"72 12th St, Portland, OR 97035"
150642,Lightning Charging Cable,1,14.95,"938 Pine St, New York City, NY 10001"
150643,Apple Airpods Headphones,1,150,"304 North St, Seattle, WA 98101"
150644,Bose SoundSport Headphones,1,99.99,"879 Sunset St, Dallas, TX 75001"
150645,27in 4K Gaming Monitor,1,389.99,"153 South St, Seattle, WA 98101"
150646,27in FHD Monitor,1,149.99,"312 Spruce St, San Francisco, CA 94016"
150647,20in Monitor,1,109.99,"102 Dogwood St, New York City, NY 10001"
150648,27in 4K Gaming Monitor,1,389.99,"217 11th St, Los Angeles, CA 90001"
150649,27in FHD Monitor,1,149.99,"834 Main St, San Francisco, CA 94016"
150650,Bose SoundSport Headphones,1,99.99,"982 11th St, San Francisco, CA 94016"
150651,Google Phone,1,600,"525 10th St, New York City, NY 10001"
150651,USB-C Charging Cable,1,11.95,"525 10th St, New York City, NY 10001"
150652,AAA Batteries (4-pack),1,2.99,"933 Jackson St, Boston, MA 02215"
150653,27in FHD Monitor,1,149.99,"955 Jackson St, Los Angeles, CA 90001"
150654,Wired Headphones,1,11.99,"263 Cherry St, Los Angeles, CA 90001"
150655,AAA Batteries (4-pack),1,2.99,"154 Main St, Los Angeles, CA 90001"
150656,27in FHD Monitor,1,149.99,"643 Jackson St, Atlanta, GA 30301"
150657,AAA Batteries (4-pack),1,2.99,"406 Maple St, Los Angeles, CA 90001"
150658,USB-C Charging Cable,1,11.95,"82 Park St, Austin, TX 73301"
150659,27in 4K Gaming Monitor,1,389.99,"117 Johnson St, San Francisco, CA 94016"
150660,27in FHD Monitor,1,149.99,"719 11th St, New York City, NY 10001"
150661,Wired Headphones,1,11.99,"835 Spruce St, Atlanta, GA 30301"
150662,Wired Headphones,1,11.99,"403 North St, Dallas, TX 75001"
150663,AAA Batteries (4-pack),1,2.99,"205 Spruce St, Los Angeles, CA 90001"
150664,ThinkPad Laptop,1,999.99,"928 14th St, Dallas, TX 75001"
,,,,
150665,AAA Batteries (4-pack),2,2.99,"964 7th St, San Francisco, CA 94016"
150666,Wired Headphones,1,11.99,"188 Spruce St, San Francisco, CA 94016"
,,,,
150667,USB-C Charging Cable,1,11.95,"662 Chestnut St, Dallas, TX 75001"
150668,Wired Headphones,1,11.99,"419 7th St, Atlanta, GA 30301"
150669,iPhone,1,700,"585 6th St, Atlanta, GA 30301"
150670,AA Batteries (4-pack),1,3.84,"368 Hickory St, Portland, ME 04101"
150671,Bose SoundSport Headphones,1,99.99,"690 14th St, Boston, MA 02215"
150672,USB-C Charging Cable,1,11.95,"869 Spruce St, Dallas, TX 75001"
150673,Bose SoundSport Headphones,1,99.99,"688 Spruce St, San Francisco, CA 94016"
150674,Google Phone,1,600,"690 Park St, San Francisco, CA 94016"
150674,USB-C Charging Cable,1,11.95,"690 Park St, San Francisco, CA 94016"
150674,Wired Headphones,1,11.99,"690 Park St, San Francisco, CA 94016"
150675,Lightning Charging Cable,1,14.95,"395 Spruce St, San Francisco, CA 94016"
150676,27in FHD Monitor,1,149.99,"401 Cedar St, Dallas, TX 75001"
150677,ThinkPad Laptop,1,999.99,"221 Elm St, New York City, NY 10001"
150678,AA Batteries (4-pack),1,3.84,"399 Center St, Los Angeles, CA 90001"
150679,Bose SoundSport Headphones,1,99.99,"885 Elm St, Seattle, WA 98101"
150680,iPhone,1,700,"29 Lakeview St, Austin, TX 73301"
150681,USB-C Charging Cable,2,11.95,"348 9th St, Seattle, WA 98101"
150682,Apple Airpods Headphones,1,150,"833 Lake St, San Francisco, CA 94016"
150683,27in FHD Monitor,1,149.99,"632 Ridge St, San Francisco, CA 94016"
150684,34in Ultrawide Monitor,1,379.99,"615 Jefferson St, San Francisco, CA 94016"
150685,Lightning Charging Cable,2,14.95,"658 Forest St, Portland, OR 97035"
150686,iPhone,1,700,"389 Pine St, Los Angeles, CA 90001"
150687,Wired Headphones,1,11.99,"292 Highland St, Los Angeles, CA 90001"
150688,Google Phone,1,600,"719 Maple St, New York City, NY 10001"
150688,Wired Headphones,1,11.99,"719 Maple St, New York City, NY 10001"
150689,AAA Batteries (4-pack),1,2.99,"623 10th St, Los Angeles, CA 90001"
150690,AA Batteries (4-pack),1,3.84,"167 Highland St, Atlanta, GA 30301"
150691,20in Monitor,1,109.99,"902 Adams St, New York City, NY 10001"
150692,Bose SoundSport Headphones,1,99.99,"868 11th St, Boston, MA 02215"
150693,Wired Headphones,1,11.99,"403 West St, Boston, MA 02215"
150694,Apple Airpods Headphones,1,150,"813 Church St, Los Angeles, CA 90001"
150695,AA Batteries (4-pack),1,3.84,"272 4th St, Atlanta, GA 30301"
150696,AA Batteries (4-pack),1,3.84,"417 Dogwood St, Boston, MA 02215"
150697,Bose SoundSport Headphones,1,99.99,"966 7th St, Seattle, WA 98101"
150698,34in Ultrawide Monitor,1,379.99,"375 Maple St, Los Angeles, CA 90001"
150699,USB-C Charging Cable,1,11.95,"253 Cherry St, San Francisco, CA 94016"
150700,USB-C Charging Cable,1,11.95,"551 2nd St, New York City, NY 10001"
150701,ThinkPad Laptop,1,999.99,"822 Highland St, Dallas, TX 75001"
150702,34in Ultrawide Monitor,1,379.99,"27 Wilson St, Los Angeles, CA 90001"
150703,27in 4K Gaming Monitor,1,389.99,"998 Jefferson St, Boston, MA 02215"
150704,27in 4K Gaming Monitor,1,389.99,"508 Walnut St, Austin, TX 73301"
150705,Bose SoundSport Headphones,1,99.99,"189 Elm St, New York City, NY 10001"
150706,Lightning Charging Cable,1,14.95,"815 Willow St, San Francisco, CA 94016"
150707,Lightning Charging Cable,1,14.95,"128 Elm St, San Francisco, CA 94016"
150708,Bose SoundSport Headphones,1,99.99,"36 Ridge St, Dallas, TX 75001"
150709,USB-C Charging Cable,1,11.95,"507 Washington St, Boston, MA 02215"
150710,27in 4K Gaming Monitor,1,389.99,"581 Jackson St, San Francisco, CA 94016"
150711,Flatscreen TV,1,300,"320 11th St, San Francisco, CA 94016"
150712,AA Batteries (4-pack),3,3.84,"109 Willow St, New York City, NY 10001"
150713,AAA Batteries (4-pack),2,2.99,"362 10th St, Dallas, TX 75001"
150714,Bose SoundSport Headphones,1,99.99,"539 5th St, Los Angeles, CA 90001"
150715,Apple Airpods Headphones,1,150,"626 Lakeview St, San Francisco, CA 94016"
150716,Bose SoundSport Headphones,1,99.99,"396 Elm St, Dallas, TX 75001"
150717,USB-C Charging Cable,1,11.95,"202 Maple St, Austin, TX 73301"
150718,AA Batteries (4-pack),1,3.84,"211 Willow St, Atlanta, GA 30301"
150719,AAA Batteries (4-pack),1,2.99,"281 Lake St, Portland, OR 97035"
150720,27in FHD Monitor,1,149.99,"326 10th St, San Francisco, CA 94016"
150721,Apple Airpods Headphones,1,150,"115 Cedar St, San Francisco, CA 94016"
150722,AA Batteries (4-pack),2,3.84,"859 Cedar St, Seattle, WA 98101"
150723,Lightning Charging Cable,1,14.95,"793 Forest St, Los Angeles, CA 90001"
150724,34in Ultrawide Monitor,1,379.99,"168 Forest St, Seattle, WA 98101"
150725,AA Batteries (4-pack),2,3.84,"148 Park St, San Francisco, CA 94016"
150726,USB-C Charging Cable,1,11.95,"984 Hickory St, San Francisco, CA 94016"
150727,Apple Airpods Headphones,1,150,"406 4th St, San Francisco, CA 94016"
150728,Wired Headphones,1,11.99,"7 Highland St, New York City, NY 10001"
150729,Google Phone,1,600,"705 7th St, Boston, MA 02215"
150730,USB-C Charging Cable,2,11.95,"357 Lakeview St, San Francisco, CA 94016"
150731,Lightning Charging Cable,1,14.95,"907 South St, Seattle, WA 98101"
150732,AA Batteries (4-pack),1,3.84,"417 Ridge St, San Francisco, CA 94016"
150733,27in 4K Gaming Monitor,1,389.99,"982 Washington St, Los Angeles, CA 90001"
150734,Google Phone,1,600,"119 Madison St, New York City, NY 10001"
150734,USB-C Charging Cable,1,11.95,"119 Madison St, New York City, NY 10001"
150735,AA Batteries (4-pack),1,3.84,"450 6th St, Boston, MA 02215"
150736,Wired Headphones,1,11.99,"785 Lakeview St, Los Angeles, CA 90001"
150737,AAA Batteries (4-pack),1,2.99,"727 Pine St, Los Angeles, CA 90001"
150738,Bose SoundSport Headphones,1,99.99,"374 Main St, Atlanta, GA 30301"
150739,Lightning Charging Cable,1,14.95,"21 11th St, Atlanta, GA 30301"
150740,34in Ultrawide Monitor,1,379.99,"838 11th St, Portland, OR 97035"
150741,Bose SoundSport Headphones,1,99.99,"755 Maple St, New York City, NY 10001"
150742,Wired Headphones,1,11.99,"589 Maple St, San Francisco, CA 94016"
150743,AAA Batteries (4-pack),1,2.99,"203 Main St, Los Angeles, CA 90001"
150744,34in Ultrawide Monitor,1,379.99,"682 5th St, Atlanta, GA 30301"
150745,AA Batteries (4-pack),3,3.84,"489 Center St, San Francisco, CA 94016"
150746,AAA Batteries (4-pack),1,2.99,"195 North St, Los Angeles, CA 90001"
150747,USB-C Charging Cable,1,11.95,"275 2nd St, San Francisco, CA 94016"
150748,AAA Batteries (4-pack),1,2.99,"931 11th St, New York City, NY 10001"
150749,Vareebadd Phone,1,400,"55 6th St, San Francisco, CA 94016"
150750,iPhone,1,700,"753 Washington St, New York City, NY 10001"
150751,USB-C Charging Cable,2,11.95,"153 Washington St, Los Angeles, CA 90001"
150752,Wired Headphones,1,11.99,"23 4th St, Portland, OR 97035"
150753,Lightning Charging Cable,1,14.95,"599 7th St, New York City, NY 10001"
150754,AAA Batteries (4-pack),1,2.99,"423 Park St, Austin, TX 73301"
150755,AA Batteries (4-pack),1,3.84,"355 Lake St, Austin, TX 73301"
150756,Bose SoundSport Headphones,1,99.99,"114 West St, Seattle, WA 98101"
150757,USB-C Charging Cable,1,11.95,"141 Highland St, San Francisco, CA 94016"
150758,iPhone,1,700,"360 Madison St, Austin, TX 73301"
150758,Wired Headphones,1,11.99,"360 Madison St, Austin, TX 73301"
150759,Lightning Charging Cable,1,14.95,"999 9th St, Boston, MA 02215"
150760,AA Batteries (4-pack),2,3.84,"638 4th St, Los Angeles, CA 90001"
150761,AAA Batteries (4-pack),1,2.99,"358 Maple St, Austin, TX 73301"
150762,USB-C Charging Cable,1,11.95,"927 Lake St, San Francisco, CA 94016"
150763,AA Batteries (4-pack),3,3.84,"276 2nd St, New York City, NY 10001"
150764,AAA Batteries (4-pack),1,2.99,"671 10th St, New York City, NY 10001"
150765,AA Batteries (4-pack),1,3.84,"750 Madison St, Seattle, WA 98101"
150766,Bose SoundSport Headphones,1,99.99,"969 10th St, San Francisco, CA 94016"
150767,Bose SoundSport Headphones,1,99.99,"38 Wilson St, San Francisco, CA 94016"
150768,Lightning Charging Cable,1,14.95,"482 Madison St, Los Angeles, CA 90001"
150769,Apple Airpods Headphones,1,150,"470 Madison St, Los Angeles, CA 90001"
150770,34in Ultrawide Monitor,1,379.99,"721 Dogwood St, Seattle, WA 98101"
150771,AA Batteries (4-pack),1,3.84,"619 9th St, New York City, NY 10001"
150772,Bose SoundSport Headphones,1,99.99,"238 8th St, Los Angeles, CA 90001"
150773,AA Batteries (4-pack),1,3.84,"632 Highland St, New York City, NY 10001"
150774,AA Batteries (4-pack),1,3.84,"579 Adams St, San Francisco, CA 94016"
150775,Lightning Charging Cable,1,14.95,"596 9th St, Seattle, WA 98101"
150776,Bose SoundSport Headphones,1,99.99,"480 1st St, Seattle, WA 98101"
150777,Lightning Charging Cable,2,14.95,"879 Pine St, Los Angeles, CA 90001"
150778,Apple Airpods Headphones,1,150,"49 Hill St, San Francisco, CA 94016"
150779,27in FHD Monitor,1,149.99,"819 Adams St, San Francisco, CA 94016"
150780,Google Phone,1,600,"123 Maple St, Austin, TX 73301"
150781,Bose SoundSport Headphones,1,99.99,"219 1st St, Atlanta, GA 30301"
150782,Lightning Charging Cable,1,14.95,"12 Highland St, San Francisco, CA 94016"
150783,AAA Batteries (4-pack),1,2.99,"13 Hill St, San Francisco, CA 94016"
150784,AA Batteries (4-pack),1,3.84,"73 Sunset St, New York City, NY 10001"
150785,Apple Airpods Headphones,1,150,"474 Pine St, Los Angeles, CA 90001"
150786,AA Batteries (4-pack),2,3.84,"856 Highland St, Atlanta, GA 30301"
150787,USB-C Charging Cable,1,11.95,"110 Washington St, New York City, NY 10001"
150788,Wired Headphones,1,11.99,"65 Pine St, New York City, NY 10001"
150789,Lightning Charging Cable,1,14.95,"156 West St, New York City, NY 10001"
150790,USB-C Charging Cable,1,11.95,"869 Lincoln St, Seattle, WA 98101"
150791,Apple Airpods Headphones,1,150,"663 Madison St, San Francisco, CA 94016"
150792,Wired Headphones,1,11.99,"343 13th St, Boston, MA 02215"
150793,ThinkPad Laptop,1,999.99,"210 1st St, Boston, MA 02215"
150794,AAA Batteries (4-pack),1,2.99,"195 Jackson St, Boston, MA 02215"
150795,27in 4K Gaming Monitor,1,389.99,"959 4th St, Seattle, WA 98101"
150796,AAA Batteries (4-pack),2,2.99,"129 Washington St, Atlanta, GA 30301"
150797,USB-C Charging Cable,3,11.95,"995 Ridge St, Atlanta, GA 30301"
150798,Macbook Pro Laptop,1,1700,"931 Dogwood St, New York City, NY 10001"
150799,Bose SoundSport Headphones,1,99.99,"445 14th St, Dallas, TX 75001"
150800,USB-C Charging Cable,1,11.95,"37 North St, Boston, MA 02215"
150801,AAA Batteries (4-pack),1,2.99,"212 Center St, Seattle, WA 98101"
150802,Google Phone,1,600,"817 Willow St, Dallas, TX 75001"
150803,Bose SoundSport Headphones,1,99.99,"532 Hill St, San Francisco, CA 94016"
150804,AAA Batteries (4-pack),1,2.99,"849 Jackson St, New York City, NY 10001"
150805,AA Batteries (4-pack),1,3.84,"820 Washington St, New York City, NY 10001"
150806,USB-C Charging Cable,1,11.95,"995 6th St, Los Angeles, CA 90001"
150807,27in 4K Gaming Monitor,1,389.99,"278 Dogwood St, Boston, MA 02215"
150808,AA Batteries (4-pack),1,3.84,"566 West St, San Francisco, CA 94016"
150809,USB-C Charging Cable,1,11.95,"605 Hill St, Los Angeles, CA 90001"
150810,USB-C Charging Cable,1,11.95,"275 2nd St, Los Angeles, CA 90001"
150811,Google Phone,1,600,"969 Pine St, Seattle, WA 98101"
150812,Wired Headphones,1,11.99,"915 Maple St, San Francisco, CA 94016"
150813,Apple Airpods Headphones,1,150,"575 Cherry St, San Francisco, CA 94016"
150814,USB-C Charging Cable,1,11.95,"922 7th St, Seattle, WA 98101"
150815,Wired Headphones,1,11.99,"770 6th St, Atlanta, GA 30301"
150816,Flatscreen TV,1,300,"769 Johnson St, San Francisco, CA 94016"
150817,AA Batteries (4-pack),1,3.84,"377 Church St, New York City, NY 10001"
150818,AA Batteries (4-pack),1,3.84,"919 Adams St, Seattle, WA 98101"
150819,27in FHD Monitor,1,149.99,"547 Willow St, Los Angeles, CA 90001"
150820,AA Batteries (4-pack),1,3.84,"920 11th St, Portland, OR 97035"
150821,Bose SoundSport Headphones,1,99.99,"316 Center St, Los Angeles, CA 90001"
150822,AA Batteries (4-pack),1,3.84,"932 Forest St, San Francisco, CA 94016"
150823,USB-C Charging Cable,1,11.95,"848 Cedar St, San Francisco, CA 94016"
150824,Wired Headphones,1,11.99,"513 Wilson St, Boston, MA 02215"
150825,27in FHD Monitor,1,149.99,"289 Hickory St, New York City, NY 10001"
150826,Bose SoundSport Headphones,1,99.99,"543 6th St, Seattle, WA 98101"
150827,USB-C Charging Cable,1,11.95,"529 West St, New York City, NY 10001"
150828,Macbook Pro Laptop,1,1700,"380 13th St, Dallas, TX 75001"
150829,27in 4K Gaming Monitor,1,389.99,"606 Highland St, Los Angeles, CA 90001"
150830,USB-C Charging Cable,2,11.95,"121 Cedar St, Seattle, WA 98101"
150831,AAA Batteries (4-pack),1,2.99,"346 Center St, New York City, NY 10001"
150832,USB-C Charging Cable,1,11.95,"107 4th St, San Francisco, CA 94016"
150833,USB-C Charging Cable,1,11.95,"365 Center St, New York City, NY 10001"
150834,Bose SoundSport Headphones,1,99.99,"795 Jefferson St, Dallas, TX 75001"
150835,Apple Airpods Headphones,1,150,"279 10th St, New York City, NY 10001"
150836,Wired Headphones,1,11.99,"820 Walnut St, Dallas, TX 75001"
150837,Lightning Charging Cable,1,14.95,"725 Adams St, Atlanta, GA 30301"
150838,USB-C Charging Cable,1,11.95,"478 Adams St, New York City, NY 10001"
150839,Google Phone,1,600,"625 Washington St, New York City, NY 10001"
150840,AAA Batteries (4-pack),1,2.99,"14 6th St, Austin, TX 73301"
